,name,categories,lat,lng,id,NumPunto,Estrato,CRat,Rat,CFot,COpi
41,Cerro Sur,Mountain,4.545373400000001,-74.1201,4f0bfe0be4b0e4e35bb2a93e,1530,2,SC,NR,11.0,2.0
42,Video Rockola La Tia,Bar,4.5454512912399085,-74.0916800176478,547528da498e356dc5fb3c34,1544,2,SC,NR,0.0,1.0
43,crepes & panes,Italian Restaurant,4.5460348702454505,-74.08974702032616,4fac0681e4b0db927d104d2a,1545,2,SC,NR,2.0,0.0
44,Mariachis mi pais,Music Store,4.5460717000000015,-74.087214,5dcd53ac9a65eb00087ffecc,1546,2,SC,NR,0.0,0.0
45,Panaderia La Caqueceña,Bakery,4.5461983139318285,-74.08667253862204,509bc331e4b03fb1c464157e,1546,2,SC,NR,0.0,0.0
46,Cafetería La Picota,Coffee Shop,4.5503154610106185,-74.11765849397527,4f575401e4b060fb2fb45087,1604,2,SC,NR,2.0,0.0
47,Picota Resort,Resort,4.5491019999999995,-74.116008,4da490c7f889cbfffa021140,1605,2,SC,NR,15.0,0.0
48,Centro Mayor-Parrilla & Picaditas,BBQ Joint,4.549375730809741,-74.10921948322934,50c390a7e4b04a2d9ce536b7,1608,2,SC,NR,0.0,1.0
49,BLE Gelato - Heladería y frutería,Ice Cream Shop,4.548806190490723,-74.09298706054688,5435a8d8498e90a92ca36f11,1616,2,SC,NR,2.0,0.0
50,Molispan,Bakery,4.552703873308193,-74.11739510361366,4f6094d4e4b0d8a157159b6b,1678,2,SC,NR,3.0,0.0
51,Pescaderia Costa Verde,Seafood Restaurant,4.552914,-74.11622,56b3a7b6498e3734d51199c1,1679,2,SC,NR,1.0,0.0
52,La Tola Bar,Bar,4.552077316580408,-74.10797491193367,541522c1498e3687681e06e1,1683,2,SC,NR,0.0,0.0
53,Cade La Victoria,Building,4.552522909054883,-74.09482324688781,4e34199618a8efdb17606695,1689,2,SC,NR,1.0,1.0
54,Pulidores De Concreto Y Marmol Servipisos Eb,Construction & Landscaping,4.551813289067323,-74.08746682209016,5dadd03398c98d00089516a0,1693,2,SC,NR,6.0,0.0
55,Alitas A Lo Bestia,Theme Restaurant,4.5567839999999995,-74.142977,597cfce246e1b64c18e28951,1740,1,SC,NR,0.0,0.0
56,Demoliciones Boyaca,Construction & Landscaping,4.556688826641612,-74.13791321579663,5db35d9a5986840007940a11,1743,2,SC,NR,6.0,0.0
57,Tu Boleta Centro Comercial Caracas - Molinos,Hobby Shop,4.557238512306551,-74.1222667694092,4e309ebf814d3bc23a06f65d,1751,2,SC,NR,0.0,0.0
58,El castillo de las tortas,Coffee Shop,4.556115,-74.112149,587167649c439d43abdfad29,1756,2,SC,NR,0.0,0.0
59,Mak Piko,Fried Chicken Joint,4.5561620000000005,-74.111919,5a4296f80c9f312950592fc4,1756,2,SC,NR,0.0,0.0
60,Dotancol,Clothing Store,4.5559888,-74.0971778,5a8b34d0838e597879f4f043,1763,2,SC,NR,0.0,0.0
61,Mi primer huella,Baby Store,4.560667,-74.147181,572fddbd498e6a24288792eb,1812,2,SC,NR,3.0,1.0
62,Pañalera Jhonny,Baby Store,4.560743190337008,-74.14707212764739,5b854be5b6eedb002c83dcb2,1812,2,SC,NR,6.0,0.0
63,Parque Tunjuelito,Park,4.5610488170554335,-74.12956844176841,589a142bebf0285ff883e3e9,1821,2,SC,NR,0.0,1.0
64,Donde Juan,Motorcycle Shop,4.5591370000000015,-74.12356,5977c4b486f4cc55f74e47b6,1824,2,SC,NR,0.0,0.0
65,BAIRES,Argentinian Restaurant,4.559477460671134,-74.09617688418602,558381c2498e60d28ce9edfe,1838,2,SC,NR,0.0,0.0
66,Parque Bello Horizonte,Park,4.559925,-74.091965,5605c5ff498efedb7ba9a8b2,1840,2,SC,NR,0.0,0.0
67,Compensar CUR GYM,Gym / Fitness Center,4.560010652436981,-74.09169148938278,50323ac3e4b045150c1567f0,1840,2,SC,NR,1.0,0.0
68,Surtimax Tunjuelito,Market,4.563914651190805,-74.1288046209921,524710cc498e2e95d49768e1,1900,2,SC,NR,1.0,1.0
69,Piqueteadero Guatecano,Latin American Restaurant,4.5624948,-74.12699,5a2af250a92d981169f53c19,1901,2,SC,NR,0.0,0.0
70,Quinta Motos,Motorcycle Shop,4.5639195,-74.12539,567b3f75498eca74f54b2b7e,1902,2,SC,NR,4.0,0.0
71,Polideportivo Villa de los Alpes,Park,4.562756363665816,-74.0977427321326,516a9aaee4b026a6fedafb71,1916,2,SC,NR,2.0,0.0
72,bombonera,Basketball Court,4.563464450517331,-74.09594171908309,5010299ce4b06b1928a102f8,1917,2,SC,NR,4.0,1.0
73,Palo del Ahorcado,Mountain,4.56657946242265,-74.17104761696847,51bb6877498e0c52b571d5c7,1965,1,SC,NR,2.0,0.0
74,All Store,Electronics Store,4.5670154081246785,-74.15005059892566,50b15268e4b0b42d0f84f38a,1976,2,SC,NR,0.0,0.0
75,Asadero La Gran Esquina,BBQ Joint,4.567382299999999,-74.145226,5df6993a1bfede00077a5432,1978,2,SC,NR,1.0,0.0
76,Comercializadora Abediar,Leather Goods Store,4.56626,-74.13637,5a6c107af1fdaf2a3cf531f9,1983,2,SC,NR,0.0,0.0
77,Cash Money,Betting Shop,4.566017808080503,-74.12895945872232,507885d5e4b0f934e87175c3,1986,2,SC,NR,6.0,1.0
78,Emma Sua De Romero,Massage Studio,4.567603,-74.12177700000002,5d20d9bfe7e5fc0023c49a2d,1990,2,SC,NR,0.0,0.0
79,Comida rápidas Aquí si es,Fast Food Restaurant,4.56644,-74.11619,5b0ce01ff1fdaf002c6912e2,1993,2,SC,NR,1.0,0.0
80,Panadería Alaska,Bakery,4.566191673278809,-74.11266326904297,55f58a97498ec2dada47de1c,1994,2,SC,NR,0.0,0.0
81,El Mundo de las Ranas,Arts & Crafts Store,4.567933082580571,-74.11152648925781,50805e1ce4b0ad74a6ee5e9a,1995,2,SC,NR,0.0,0.0
82,Parque Pijaos,Athletics & Sports,4.567266,-74.10319399999999,5849a26dd43907631c85144d,1999,3,SC,NR,0.0,0.0
83,El Taller De Lilita,Arts & Crafts Store,4.566931023909596,-74.10191826292156,507ee38ee4b071f5ef872b83,2000,3,SC,NR,0.0,0.0
84,Avalengas,Construction & Landscaping,4.566958719999444,-74.08210636492922,5ef4d7313590af0008de3d06,2010,2,SC,NR,6.0,0.0
85,Circulo Colombiano de Artistas-CICA,Theater,4.566298718633991,-74.07851574160554,51f457e2498e57d6403fe4ab,2012,2,SC,NR,6.0,0.0
86,D&S Construcciones de Gas,Construction & Landscaping,4.570130000000002,-74.16583,5abbc799fe37400df0a05710,2054,1,SC,NR,0.0,0.0
87,El Trapero 1,Restaurant,4.56971420352459,-74.15026849385652,523b3b6211d28ecec0fc97f9,2062,2,SC,NR,3.0,3.0
88,Plaza de Mercado San Carlos,Restaurant,4.569963487150568,-74.12875874310987,50a79848e4b041c06536f3d2,2072,3,SC,NR,4.0,2.0
89,Picos Tunal,Café,4.569877527125923,-74.12818526878941,4f6654c1e4b041039f6d08e8,2073,3,SC,NR,0.0,0.0
90,Tienda Ceramica Corona - Santa Lucia,Department Store,4.571093034953711,-74.12509421186691,5380ce07498ef71aaae5e9c5,2074,3,SC,NR,0.0,1.0
91,luz m asociados,Construction & Landscaping,4.569804929095488,-74.11914467811584,5ae881b5628c83002ceccc10,2077,3,SC,NR,0.0,0.0
92,Que Y Tacos Gourmet,Burger Joint,4.569680011792234,-74.10024347324803,5374138b498e5e72c876f1f6,2087,3,SC,NR,4.0,0.0
93,Tiendas Metro 20 De Julio,Grocery Store,4.5693456262078564,-74.0999051646433,4e24517bb3add90f9f4b7b76,2087,3,40.0,5.0,16.0,11.0
94,Portal 20 de Julio,Bus Station,4.57113790407379,-74.09707165603706,50a4d365e4b0d3346943cdb5,2088,3,SC,NR,3.0,0.0
95,Drogueria Colsubsidio 20 de julio,Pharmacy,4.570014493525152,-74.09503547032818,527d625d11d28077fab36da1,2089,3,SC,NR,1.0,0.0
96,K-Tronix 20 De Julio,Electronics Store,4.569651832733109,-74.09340650589841,50d37167e4b03474919bcc3b,2090,3,SC,NR,0.0,0.0
97,Plaza de Mercado 20 de Julio,Food & Drink Shop,4.570311728139783,-74.09353269378755,52add18211d225e849696666,2090,3,SC,NR,2.0,2.0
98,Urbanos Food,Fast Food Restaurant,4.571003,-74.09045,5be4f8b7c53093002c04b5df,2092,2,SC,NR,1.0,0.0
99,Candelaria Bar,Pub,4.570881571772358,-74.08779105922626,538a88c4498e8301b3181456,2093,3,SC,NR,0.0,0.0
100,Salón De Eventos Gonzalo Jiménez De Quezada,Concert Hall,4.571158409118652,-74.08116912841797,522bf00711d2d9992d0c8c15,2096,2,SC,NR,1.0,0.0
101,Imternational Broaster,Fried Chicken Joint,4.5703480847314655,-74.07390372567009,5063c1d2e4b0768b7d9cd577,2100,2,SC,NR,0.0,0.0
102,crepes & panes,Breakfast Spot,4.569954554418064,-74.07392093489412,4f68879fe4b0bb1b186b0ec7,2100,2,SC,NR,0.0,0.0
103,Restaurante LEE XING,Chinese Restaurant,4.5739974342558565,-74.15659306983898,50be5ab4e4b0fd4a60e0d422,2141,1,SC,NR,0.0,0.0
104,Italian Pizza,Pizza Place,4.573908564180196,-74.15661600535363,4d7fa7c295c1a143af52e9f2,2141,1,SC,NR,2.0,1.0
105,CLUB TROPEZÓN 🍻,Buffet,4.573611665546531,-74.15565844521281,536534f0498e5b725e4b184c,2142,1,SC,NR,0.0,0.0
106,Parque Arborizadora Baja,Park,4.5733761244612845,-74.15144397527185,4fbbd63ee4b0b3a994ebebe3,2144,2,SC,NR,10.0,1.0
107,cigarreria z,Smoke Shop,4.57396298862704,-74.14999325811203,5123e4f8e4b0854583cfdf72,2145,2,SC,NR,4.0,1.0
108,Dialpa S.A.S.,Electronics Store,4.574252753879054,-74.13702807398414,5e1d7585e7117a0008a396ac,2151,3,SC,NR,0.0,0.0
109,iron body,Gym,4.574533462524414,-74.12702941894531,53e010de498e332eaf56c0c7,2156,3,SC,NR,1.0,0.0
110,Internacional De Mosaicos,Construction & Landscaping,4.572904985303791,-74.1239070948045,5659fe06498edac8baeacda1,2158,3,SC,NR,0.0,0.0
111,Arepas Paty,Arepa Restaurant,4.573884334910164,-74.10773976159163,4ebdda556c25dfd980c60fc7,2166,3,SC,NR,0.0,1.0
112,Bosque San Carlos,Park,4.574397031602281,-74.1057839875813,4e1085407d8b4d5613d24d70,2167,3,108.0,7.7,69.0,20.0
113,GIMNASIO STRONG BODY,Gym,4.574843268021692,-74.10385687068968,4fab2bc3e4b092915c209882,2168,3,SC,NR,1.0,1.0
114,Postreria Almibar,Dessert Shop,4.573019914423601,-74.1007538707207,4d2b6379ebacb1f736a00b50,2169,3,62.0,8.2,18.0,14.0
115,Doña Lola,South American Restaurant,4.573264490872433,-74.0991135553485,50da02d7e4b0feaa61ec21af,2170,3,SC,NR,2.0,0.0
116,Velodromo Primero De Mayo,Park,4.572940989170566,-74.08884647770863,4fd50887e4b0da8147e65c30,2175,3,15.0,8.3,15.0,6.0
117,Parque San Cristobal,Park,4.5739790000000005,-74.08473000000002,4e3ec7eab0fb875af873bb0a,2177,3,10.0,7.3,49.0,5.0
118,Panadería MONTEBELLO,Bakery,4.574295997619629,-74.07662200927734,508894f9e4b07178d084836f,2181,2,SC,NR,0.0,0.0
119,Refriplasticos Mendez,Factory,4.57331,-74.07647,5c70d74de65d0c002c2c197a,2182,2,SC,NR,4.0,0.0
