,name,categories,lat,lng,id,NumPunto,Estrato,MarcaEncontrada
279,Falabella de Colombia S.A,Coworking Space,4.682463748021188,-74.0449420123793,4d83609e40a7a35d5f5bf4bd,12646,6,Falabella
280,Baskin-Robbins,Ice Cream Shop,4.686381875877802,-74.0786935658351,5003536de4b042c51d2fcacf,12711,4,Baskin
281,Dunkin',Donut Shop,4.685967970004802,-74.07377752464609,4ed7c8dc4690bd08d924c68c,12713,4,Dunkin
282,McDonald's,Fast Food Restaurant,4.686801796118876,-74.07527969133528,4cd70ba1dfb4a1cd1e55625c,12713,4,McDonald's
283,KFC,Fast Food Restaurant,4.686406,-74.07339499999998,56ede855498e3b34bbe698f3,12714,4,KFC
284,Subway,Sandwich Place,4.686475430996594,-74.0733860225335,4e7a332f8998c6d28977a0a3,12714,4,Subway
285,KFC,Fast Food Restaurant,4.686488982771016,-74.0564433871862,503be8e7e4b078a4e8903252,12722,6,KFC
286,DoubleTree by Hilton,Hotel,4.6854648236858365,-74.05448604398738,570fb82a498e7b1f24563c47,12723,6,Hilton
287,Subway,Sandwich Place,4.685829567051803,-74.05284834481624,4c220d64502b9521bde56d21,12724,6,Subway
288,Dunkin',Donut Shop,4.686048977293768,-74.0527520836368,53dc0035498e3f6004164f2c,12724,6,Dunkin
289,Subway,Sandwich Place,4.68951095513002,-74.1327386065324,4d8d509ecb9b224b189a6a41,12764,6,Subway
290,Subway,Sandwich Place,4.689459116993636,-74.07134527026275,52f8eb5c11d2cd18a2f90fb8,12795,4,Subway
291,Subway,Sandwich Place,4.690777712479676,-74.06268432294459,53780fd4498ea9fbf3c13a3a,12799,5,Subway
292,Pernod Ricard Colombia,Office,4.689028534273207,-74.05230755071324,4c850ee851ada1cde0e83310,12804,6,Pernod Ricard
293,Dunkin',Donut Shop,4.6905702422154745,-74.03876423835754,4dc1df88d4c07da169ec39bd,12811,5,Dunkin
294,Subway,Sandwich Place,4.692865444916224,-74.13643193351402,4d9a01c497d06ea8a2e1560b,12842,6,Subway
295,Dunkin',Donut Shop,4.694111589268601,-74.08664166927336,511a8f46e4b06f0b8e49b3dc,12867,3,Dunkin
296,Starbucks,Coffee Shop,4.692408297439339,-74.03438396982473,58d87e0644689a1e9bf0145a,12893,6,Starbucks
297,Starbucks,Coffee Shop,4.697464218536799,-74.14249572486129,5a293ab9c0f163185ba51e7b,12919,6,Starbucks
298,Starbucks,Coffee Shop,4.697270693184301,-74.04636402406534,58fa63599ec3990cbc28e627,12967,6,Starbucks
299,Sala VIP American Express - El Dorado,Airport Lounge,4.7000910000000005,-74.149275,59d7ec27a6fe4d20a2f4e6b8,12994,6,American Express
300,Dunkin',Donut Shop,4.70006115048064,-74.14318104392255,4d52714ad7eaa14346387e0f,12997,6,Dunkin
301,American Express Vip Gate 27,Airport Lounge,4.7004285,-74.14259,590de90295a7223da41ecb87,12997,6,American Express
302,Domino's Pizza,Pizza Place,4.6998744443844105,-74.07851273050615,4fce9e95e4b031b011f90c7f,13029,5,Domino's Pizza
303,Dunkin',Donut Shop,4.699637790873072,-74.0793310547524,4ede6a75e5fa78b172d9da0b,13029,5,Dunkin
304,Dunkin',Donut Shop,4.7004938125,-74.06265142222223,4c40a6f4e26920a1b33b5de7,13037,5,Dunkin
305,Adidas Sport Performance Store,Sporting Goods Shop,4.7007774000000015,-74.04455440000002,4c72ca4a9e706dcb50c54b62,13046,6,Adidas
306,Metro 127,Shopping Mall,4.703922031438048,-74.04308035250253,4e3edb2bb61cb577be8a4615,13128,6,MetroMetro 
307,McDonald's,American Restaurant,4.707231138455188,-74.06822459615934,50201151e4b0d186b0d132b4,13190,5,McDonald's
308,KFC,Fast Food Restaurant,4.7106978395006935,-74.11211580383339,566321a8498eec324f04931f,13240,3,KFC
309,Subway,Sandwich Place,4.710616265380826,-74.11217315626523,5230bf4911d2e9bbd9ad476e,13240,3,Subway
310,McDonald's,Fast Food Restaurant,4.710899220475086,-74.11185156473718,53615a11498e5fe312ea2ab7,13240,3,McDonald's
311,Dunkin',Donut Shop,4.711014774318532,-74.1116452217102,5238dec111d2754d3e26d80e,13241,3,Dunkin
312,Subway,Sandwich Place,4.711580507295552,-74.07051921448361,4eac98845c5ce6e505b22408,13261,5,Subway
313,Nike outlet,Sporting Goods Shop,4.717897559954051,-74.04686752368526,4cd72b1c76ab721efceb766a,13419,5,Nike
314,McDonald's,Fast Food Restaurant,4.718019841175291,-74.03235503205649,4c164214a9c220a1c6505a9d,13426,4,McDonald's
315,Dunkin',Donut Shop,4.721114,-74.122974,529238f3498e9d8872513cd6,13458,3,Dunkin
316,KFC,Fast Food Restaurant,4.7208355911155095,-74.03978318228751,4c3ca4e97f49c9b68e2c6ce3,13499,4,KFC
317,Subway,Sandwich Place,4.720398377786736,-74.03879669443022,4fc387d4e4b00baac7705586,13500,4,Subway
318,McDonald's,Fast Food Restaurant,4.728249740933074,-74.06415165604002,4bd20b0a9854d13a1ed1fa4d,13626,5,McDonald's
319,Subway Colina Campestre,Sandwich Place,4.727285956261549,-74.06479676664087,50186d12e4b0cbf5d941de8d,13626,5,Subway
320,Subway Colina,Sandwich Place,4.728402767943416,-74.06331401941964,501d63c2e4b004c545af8745,13627,5,Subway
321,Domino's Pizza,Pizza Place,4.731197049321723,-74.0502427468467,5452f462498e29aa047c1dbd,13693,4,Domino's Pizza
322,Subway,Sandwich Place,4.731861528823088,-74.04492136991684,53556062498ecda3285a756c,13696,4,Subway
323,Dunkin',Donut Shop,4.734889786940651,-74.06472606913016,4d791a970ddba35ddb734b76,13746,5,Dunkin
324,Subway,Sandwich Place,4.737469129618464,-74.08433796397733,53e26e87498e415d67791632,13796,3,Subway
325,McDonald's,Fast Food Restaurant,4.737471291229827,-74.08481262525694,521fb68b11d20e05d2319fa9,13796,3,McDonald's
326,Nike Factory Store,Sporting Goods Shop,4.744741653891395,-74.04472036697763,56140d50498efdc525c2b537,13938,3,Nike
327,Subway,Sandwich Place,4.748287762589823,-74.0466873786792,54d92499498ed9d2b300f591,13995,3,Subway
328,Dunkin',Donut Shop,4.7548980675656365,-74.04495559580668,51895241498e1d858171000f,14108,3,Dunkin
329,Falabella,Department Store,4.762008592235117,-74.0471630649438,4ba65aecf964a520b04939e3,14215,4,Falabella
330,Stradivarius,Women's Store,4.7621834664497715,-74.04680543794335,4cccb8a5ee23a1435b2d21a8,14215,4,Stradivarius
331,Buffalo Wings,Wings Joint,4.76206473944638,-74.04513094500045,5ac2d9782db4a97e8c7cf5ed,14216,3,Buffalo Wings
332,McDonald's,Burger Joint,4.772958958976528,-74.0422213660988,4c37b155ae2da593fb5fffc5,14363,2,McDonald's
